#options: 1280x720 fps=25/1 timebase=1/25 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=16 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=1158 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:32.49 aq:26.99 tex:353604 mv:59956 misc:184 imb:3600 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:33.85 aq:28.00 tex:110055 mv:13254 misc:2267 imb:715 pmb:1026 smb:1859 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:33.85 aq:29.07 tex:19890 mv:10853 misc:1489 imb:60 pmb:793 smb:2747 d:s ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:33.85 aq:27.90 tex:8544 mv:4327 misc:1329 imb:21 pmb:377 smb:3202 d:s ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:33.85 aq:31.21 tex:10237 mv:7566 misc:2029 imb:25 pmb:626 smb:2949 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:34.23 aq:28.93 tex:124676 mv:14022 misc:2294 imb:703 pmb:1171 smb:1726 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:34.04 aq:30.09 tex:24390 mv:11150 misc:1612 imb:111 pmb:817 smb:2672 d:s ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:33.95 aq:30.61 tex:9992 mv:5458 misc:1598 imb:38 pmb:498 smb:3064 d:s ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:34.14 aq:31.98 tex:11170 mv:8008 misc:2078 imb:33 pmb:674 smb:2893 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:34.64 aq:29.27 tex:136798 mv:14572 misc:2302 imb:773 pmb:1282 smb:1545 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:34.44 aq:30.83 tex:22467 mv:11044 misc:1537 imb:80 pmb:837 smb:2683 d:s ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:34.34 aq:31.66 tex:9946 mv:6346 misc:1596 imb:52 pmb:513 smb:3035 d:s ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:34.54 aq:29.14 tex:10207 mv:7886 misc:1987 imb:38 pmb:620 smb:2942 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:35.02 aq:29.93 tex:143459 mv:14578 misc:2267 imb:654 pmb:1383 smb:1563 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:34.83 aq:29.65 tex:23529 mv:11065 misc:1406 imb:98 pmb:789 smb:2713 d:s ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:34.74 aq:32.27 tex:9246 mv:5730 misc:1536 imb:39 pmb:513 smb:3048 d:s ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:34.92 aq:33.10 tex:9273 mv:7765 misc:1922 imb:29 pmb:662 smb:2909 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:43.02 aq:38.23 tex:26233 mv:9557 misc:2098 imb:549 pmb:584 smb:2467 d:s ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:39.02 aq:35.18 tex:10266 mv:8982 misc:1816 imb:75 pmb:728 smb:2797 d:t ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:37.02 aq:30.44 tex:5446 mv:6987 misc:1935 imb:32 pmb:600 smb:2968 d:t ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:41.02 aq:37.11 tex:1544 mv:4295 misc:1521 imb:19 pmb:386 smb:3195 d:- ref:0 ;
in:24 out:21 type:P dur:2 cpbdur:2 q:43.23 aq:37.82 tex:23173 mv:10261 misc:2350 imb:643 pmb:627 smb:2330 d:s ref:0 ;
in:22 out:22 type:B dur:2 cpbdur:2 q:43.12 aq:37.65 tex:3291 mv:6494 misc:1919 imb:59 pmb:574 smb:2967 d:t ref:0 ;
in:21 out:23 type:b dur:2 cpbdur:2 q:43.07 aq:38.54 tex:1197 mv:3362 misc:1193 imb:27 pmb:255 smb:3318 d:s ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:43.18 aq:38.99 tex:1075 mv:2772 misc:1137 imb:24 pmb:239 smb:3337 d:- ref:0 ;
in:28 out:25 type:P dur:2 cpbdur:2 q:41.28 aq:36.33 tex:45675 mv:13608 misc:2661 imb:840 pmb:956 smb:1804 d:s ref:0 ;
in:26 out:26 type:B dur:2 cpbdur:2 q:42.25 aq:37.59 tex:4728 mv:6771 misc:1885 imb:53 pmb:604 smb:2943 d:t ref:0 ;
in:25 out:27 type:b dur:2 cpbdur:2 q:42.74 aq:33.69 tex:1306 mv:3084 misc:1234 imb:15 pmb:276 smb:3309 d:s ref:0 ;
in:27 out:28 type:b dur:2 cpbdur:2 q:41.77 aq:37.47 tex:1708 mv:3859 misc:1449 imb:22 pmb:350 smb:3228 d:- ref:0 ;
in:32 out:29 type:P dur:2 cpbdur:2 q:40.09 aq:35.14 tex:58384 mv:14856 misc:2464 imb:835 pmb:1227 smb:1538 d:s ref:0 ;
in:30 out:30 type:B dur:2 cpbdur:2 q:40.68 aq:37.38 tex:6297 mv:7804 misc:1747 imb:45 pmb:681 smb:2874 d:t ref:0 ;
in:29 out:31 type:b dur:2 cpbdur:2 q:40.98 aq:36.39 tex:1819 mv:4319 misc:1590 imb:23 pmb:412 smb:3165 d:s ref:0 ;
in:31 out:32 type:b dur:2 cpbdur:2 q:40.38 aq:39.62 tex:1433 mv:4616 misc:1647 imb:12 pmb:425 smb:3163 d:- ref:0 ;
in:36 out:33 type:P dur:2 cpbdur:2 q:38.73 aq:33.81 tex:80190 mv:15527 misc:2395 imb:587 pmb:1598 smb:1415 d:s ref:0 ;
in:34 out:34 type:B dur:2 cpbdur:2 q:39.41 aq:36.69 tex:6498 mv:8275 misc:1859 imb:34 pmb:731 smb:2835 d:t ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:39.75 aq:38.39 tex:1419 mv:4712 misc:1637 imb:10 pmb:433 smb:3157 d:s ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:39.07 aq:36.89 tex:1855 mv:4904 misc:1729 imb:7 pmb:479 smb:3114 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:37.77 aq:32.84 tex:93707 mv:15904 misc:2213 imb:499 pmb:1791 smb:1310 d:t ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:38.25 aq:35.92 tex:6882 mv:4723 misc:1299 imb:20 pmb:450 smb:3130 d:t ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:38.49 aq:35.72 tex:2201 mv:5341 misc:1778 imb:4 pmb:528 smb:3068 d:t ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:38.01 aq:36.76 tex:2065 mv:5069 misc:1674 imb:7 pmb:487 smb:3106 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:37.17 aq:32.32 tex:98998 mv:16091 misc:2295 imb:482 pmb:1870 smb:1248 d:t ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:37.47 aq:35.65 tex:6450 mv:4341 misc:1345 imb:29 pmb:405 smb:3166 d:t ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:37.62 aq:33.83 tex:1962 mv:5151 misc:1855 imb:5 pmb:500 smb:3095 d:t ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:37.32 aq:36.07 tex:1739 mv:5054 misc:1727 imb:7 pmb:486 smb:3107 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:36.78 aq:32.10 tex:101948 mv:16154 misc:2386 imb:433 pmb:1951 smb:1216 d:t ref:0 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:36.98 aq:33.91 tex:6927 mv:4278 misc:1315 imb:29 pmb:400 smb:3171 d:t ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:37.07 aq:36.56 tex:1528 mv:5062 misc:1826 imb:5 pmb:495 smb:3100 d:t ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:36.88 aq:35.41 tex:1781 mv:5041 misc:1874 imb:3 pmb:520 smb:3077 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:36.62 aq:31.72 tex:110110 mv:16305 misc:2329 imb:485 pmb:2028 smb:1087 d:t ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:36.70 aq:34.24 tex:8039 mv:4437 misc:1164 imb:15 pmb:419 smb:3166 d:t ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:36.74 aq:35.29 tex:1470 mv:2094 misc:948 imb:2 pmb:210 smb:3388 d:s ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:36.66 aq:36.34 tex:1834 mv:5257 misc:1717 imb:5 pmb:480 smb:3115 d:- ref:0 ;
in:56 out:53 type:P dur:2 cpbdur:2 q:36.58 aq:31.47 tex:90164 mv:15844 misc:2472 imb:358 pmb:1967 smb:1275 d:t ref:0 ;
in:54 out:54 type:B dur:2 cpbdur:2 q:36.60 aq:33.92 tex:6447 mv:3464 misc:1177 imb:11 pmb:347 smb:3242 d:t ref:0 ;
in:53 out:55 type:b dur:2 cpbdur:2 q:36.61 aq:37.13 tex:1565 mv:1906 misc:881 imb:8 pmb:178 smb:3414 d:s ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:36.59 aq:34.90 tex:1622 mv:4474 misc:1664 imb:6 pmb:428 smb:3166 d:- ref:0 ;
in:60 out:57 type:P dur:2 cpbdur:2 q:36.46 aq:31.58 tex:83473 mv:15342 misc:2609 imb:337 pmb:1978 smb:1285 d:t ref:0 ;
in:58 out:58 type:B dur:2 cpbdur:2 q:36.52 aq:34.66 tex:4430 mv:2596 misc:1070 imb:9 pmb:256 smb:3335 d:t ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:36.55 aq:32.24 tex:996 mv:1302 misc:798 imb:4 pmb:135 smb:3461 d:s ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:36.49 aq:34.62 tex:989 mv:4133 misc:1614 imb:7 pmb:392 smb:3201 d:- ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:36.29 aq:31.76 tex:77657 mv:15191 misc:2640 imb:297 pmb:1944 smb:1359 d:t ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:36.38 aq:32.96 tex:4035 mv:2551 misc:1174 imb:21 pmb:245 smb:3334 d:t ref:0 ;
in:61 out:63 type:b dur:2 cpbdur:2 q:36.42 aq:33.90 tex:844 mv:1141 misc:807 imb:2 pmb:129 smb:3469 d:s ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:36.34 aq:33.58 tex:1127 mv:3384 misc:1449 imb:6 pmb:333 smb:3261 d:- ref:0 ;
in:68 out:65 type:P dur:2 cpbdur:2 q:36.13 aq:32.18 tex:67196 mv:15077 misc:2655 imb:314 pmb:1895 smb:1391 d:t ref:0 ;
in:66 out:66 type:B dur:2 cpbdur:2 q:36.21 aq:33.93 tex:4227 mv:2359 misc:1158 imb:7 pmb:254 smb:3339 d:t ref:0 ;
in:65 out:67 type:b dur:2 cpbdur:2 q:36.25 aq:35.46 tex:884 mv:1064 misc:764 imb:1 pmb:117 smb:3482 d:s ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:36.17 aq:30.37 tex:563 mv:3153 misc:1212 imb:2 pmb:271 smb:3327 d:- ref:0 ;
in:72 out:69 type:P dur:2 cpbdur:2 q:35.82 aq:32.96 tex:45083 mv:13542 misc:2815 imb:207 pmb:1618 smb:1775 d:t ref:0 ;
in:70 out:70 type:B dur:2 cpbdur:2 q:35.97 aq:34.51 tex:5181 mv:2029 misc:1222 imb:13 pmb:265 smb:3322 d:t ref:0 ;
in:69 out:71 type:b dur:2 cpbdur:2 q:36.05 aq:34.15 tex:733 mv:786 misc:721 imb:3 pmb:100 smb:3497 d:s ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:35.90 aq:31.76 tex:827 mv:3188 misc:1169 imb:2 pmb:290 smb:3308 d:- ref:0 ;
in:75 out:73 type:P dur:2 cpbdur:2 q:35.44 aq:33.68 tex:11724 mv:9611 misc:2657 imb:153 pmb:1063 smb:2384 d:t ref:0 ;
in:73 out:74 type:B dur:2 cpbdur:2 q:35.69 aq:33.13 tex:1362 mv:976 misc:766 imb:2 pmb:121 smb:3477 d:t ref:0 ;
in:74 out:75 type:b dur:2 cpbdur:2 q:35.57 aq:34.24 tex:2494 mv:3807 misc:1507 imb:8 pmb:387 smb:3205 d:- ref:0 ;
in:76 out:76 type:I dur:2 cpbdur:2 q:33.75 aq:25.78 tex:267055 mv:63843 misc:198 imb:3600 pmb:0 smb:0 d:t ref:;
in:80 out:77 type:P dur:2 cpbdur:2 q:35.75 aq:28.57 tex:29781 mv:12618 misc:2369 imb:114 pmb:1374 smb:2112 d:t ref:0 ;
in:78 out:78 type:B dur:2 cpbdur:2 q:35.75 aq:29.13 tex:2006 mv:1908 misc:878 imb:3 pmb:164 smb:3433 d:t ref:0 ;
in:77 out:79 type:b dur:2 cpbdur:2 q:35.75 aq:33.83 tex:611 mv:661 misc:568 imb:2 pmb:64 smb:3534 d:t ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:35.75 aq:33.60 tex:831 mv:3828 misc:1533 imb:3 pmb:360 smb:3237 d:- ref:0 ;
in:84 out:81 type:P dur:2 cpbdur:2 q:35.25 aq:27.90 tex:61266 mv:15655 misc:2351 imb:252 pmb:1714 smb:1634 d:t ref:0 ;
in:82 out:82 type:B dur:2 cpbdur:2 q:35.50 aq:31.42 tex:2742 mv:2216 misc:1130 imb:12 pmb:203 smb:3385 d:t ref:0 ;
